-60	0.163	0.6787	1.0502	127.27	360.22	232.95	0.7014	1.7942
-50	0.299	0.6917	0.5957	138.42	366.54	228.12	0.7524	1.7747
-40	0.516	0.7055	0.35692	149.97	372.85	222.88	0.803	1.7589
-30	0.847	0.7202	0.22408	161.91	379.11	217.2	0.853	1.7463
-20	1.33	0.7361	0.14641	174.24	385.28	211.04	0.9025	1.7362
-10	2.007	0.7533	0.09898	186.93	391.32	204.39	0.9515	1.7282
0	2.928	0.7721	0.06889	200	397.2	197.2	1	1.722
10	4.145	0.7927	0.04913	213.44	402.89	189.45	1.048	1.717
20	5.716	0.8157	0.03577	227.23	408.33	181.09	1.0954	1.7132
30	7.701	0.8416	0.02648	241.46	413.47	172	1.1426	1.71
40	10.164	0.8714	0.01986	256.16	418.21	162.05	1.1896	1.7071
50	13.176	0.9064	0.01502	271.42	422.44	151.03	1.2367	1.7041
60	16.813	0.9488	0.01141	287.39	425.96	138.57	1.2843	1.7003
70	21.162	1.0027	0.00864	304.31	428.4	124.08	1.3331	1.6947
80	26.324	1.0766	0.00645	322.69	429.09	106.4	1.3844	1.6857
90	32.435	1.1948	0.00462	343.66	426.29	82.63	1.441	1.6685
100	39.742	1.5443	0.00268	374.7	409.1	34.4	1.5225	1.6147
