"Refrigerant: R134a, CH2FCF3, 1,1,1,2-tetrafluoroethane"								
"Reference: D.P.Wilson & R.S.Basu, ASHRAE Transactions 1988, Vol. 94 part 2."								
								
T	P	Vl	Vg	Hl	Hg	R	Sl	Sg
°C	Bar	dm^3/kg	m^3/kg	kJ/kg	kJ/kg	kJ/kg	kJ/(kgK)	kJ/(kgK)
-60	0.163	0.6787	1.0502	127.27	360.22	232.95	0.7014	1.7942
-59.9	0.164	0.6788	1.04394	127.38	360.28	232.9	0.7019	1.794
-59.8	0.165	0.679	1.03774	127.49	360.34	232.85	0.7024	1.7938
-59.7	0.166	0.6791	1.03157	127.6	360.41	232.81	0.7029	1.7936
-59.6	0.167	0.6792	1.02545	127.71	360.47	232.76	0.7034	1.7934
-59.5	0.168	0.6794	1.01937	127.82	360.53	232.71	0.7039	1.7932
-59.4	0.17	0.6795	1.01333	127.93	360.6	232.67	0.7044	1.7929
-59.3	0.171	0.6796	1.00734	128.04	360.66	232.62	0.7049	1.7927
-59.2	0.172	0.6797	1.00139	128.15	360.72	232.57	0.7055	1.7925
-59.1	0.173	0.6799	0.99548	128.26	360.79	232.53	0.706	1.7923
-59	0.174	0.68	0.98961	128.37	360.85	232.48	0.7065	1.7921
-58.9	0.175	0.6801	0.98378	128.48	360.91	232.43	0.707	1.7919
-58.8	0.176	0.6802	0.97799	128.59	360.98	232.39	0.7075	1.7917
-58.7	0.177	0.6804	0.97224	128.7	361.04	232.34	0.708	1.7914
-58.6	0.178	0.6805	0.96653	128.81	361.1	232.29	0.7085	1.7912
-58.5	0.179	0.6806	0.96087	128.92	361.17	232.25	0.709	1.791
-58.4	0.181	0.6807	0.95524	129.03	361.23	232.2	0.7096	1.7908
-58.3	0.182	0.6809	0.94965	129.14	361.29	232.15	0.7101	1.7906
-58.2	0.183	0.681	0.94409	129.25	361.36	232.11	0.7106	1.7904
-58.1	0.184	0.6811	0.93858	129.36	361.42	232.06	0.7111	1.7902
-58	0.185	0.6812	0.9331	129.47	361.48	232.01	0.7116	1.79
-57.9	0.186	0.6814	0.92767	129.58	361.55	231.96	0.7121	1.7898
-57.8	0.187	0.6815	0.92227	129.69	361.61	231.92	0.7126	1.7896
-57.7	0.189	0.6816	0.9169	129.8	361.67	231.87	0.7131	1.7894
-57.6	0.19	0.6818	0.91158	129.91	361.74	231.82	0.7137	1.7892
-57.5	0.191	0.6819	0.90629	130.02	361.8	231.78	0.7142	1.789
-57.4	0.192	0.682	0.90103	130.13	361.86	231.73	0.7147	1.7887
-57.3	0.193	0.6821	0.89581	130.24	361.93	231.68	0.7152	1.7885
-57.2	0.195	0.6823	0.89063	130.35	361.99	231.63	0.7157	1.7883
-57.1	0.196	0.6824	0.88549	130.46	362.05	231.59	0.7162	1.7881
-57	0.197	0.6825	0.88037	130.58	362.11	231.54	0.7167	1.7879
-56.9	0.198	0.6827	0.8753	130.69	362.18	231.49	0.7172	1.7877
-56.8	0.199	0.6828	0.87025	130.8	362.24	231.44	0.7178	1.7875
-56.7	0.201	0.6829	0.86525	130.91	362.3	231.4	0.7183	1.7873
-56.6	0.202	0.683	0.86027	131.02	362.37	231.35	0.7188	1.7871
-56.5	0.203	0.6832	0.85533	131.13	362.43	231.3	0.7193	1.7869
-56.4	0.204	0.6833	0.85043	131.24	362.49	231.25	0.7198	1.7867
-56.3	0.206	0.6834	0.84555	131.35	362.56	231.21	0.7203	1.7865
-56.2	0.207	0.6836	0.84071	131.46	362.62	231.16	0.7208	1.7863
-56.1	0.208	0.6837	0.83591	131.57	362.68	231.11	0.7213	1.7861
-56	0.209	0.6838	0.83113	131.68	362.75	231.06	0.7218	1.7859
-55.9	0.211	0.6839	0.82639	131.8	362.81	231.01	0.7224	1.7857
-55.8	0.212	0.6841	0.82168	131.91	362.87	230.97	0.7229	1.7855
-55.7	0.213	0.6842	0.817	132.02	362.94	230.92	0.7234	1.7853
-55.6	0.215	0.6843	0.81235	132.13	363	230.87	0.7239	1.7851
-55.5	0.216	0.6845	0.80774	132.24	363.06	230.82	0.7244	1.7849
-55.4	0.217	0.6846	0.80315	132.35	363.13	230.77	0.7249	1.7847
-55.3	0.219	0.6847	0.7986	132.46	363.19	230.73	0.7254	1.7845
-55.2	0.22	0.6848	0.79407	132.57	363.25	230.68	0.7259	1.7843
-55.1	0.221	0.685	0.78958	132.69	363.32	230.63	0.7264	1.7841
-55	0.223	0.6851	0.78511	132.8	363.38	230.58	0.727	1.7839
-54.9	0.224	0.6852	0.78068	132.91	363.44	230.53	0.7275	1.7838
-54.8	0.225	0.6854	0.77628	133.02	363.51	230.49	0.728	1.7836
-54.7	0.227	0.6855	0.7719	133.13	363.57	230.44	0.7285	1.7834
-54.6	0.228	0.6856	0.76756	133.24	363.63	230.39	0.729	1.7832
-54.5	0.229	0.6857	0.76324	133.36	363.7	230.34	0.7295	1.783
-54.4	0.231	0.6859	0.75895	133.47	363.76	230.29	0.73	1.7828
-54.3	0.232	0.686	0.75469	133.58	363.82	230.24	0.7305	1.7826
-54.2	0.234	0.6861	0.75046	133.69	363.89	230.19	0.731	1.7824
-54.1	0.235	0.6863	0.74626	133.8	363.95	230.15	0.7316	1.7822
-54	0.236	0.6864	0.74209	133.91	364.01	230.1	0.7321	1.782
-53.9	0.238	0.6865	0.73794	134.03	364.08	230.05	0.7326	1.7818
-53.8	0.239	0.6867	0.73382	134.14	364.14	230	0.7331	1.7816
-53.7	0.241	0.6868	0.72973	134.25	364.2	229.95	0.7336	1.7814
-53.6	0.242	0.6869	0.72566	134.36	364.27	229.9	0.7341	1.7813
-53.5	0.244	0.6871	0.72162	134.47	364.33	229.85	0.7346	1.7811
-53.4	0.245	0.6872	0.71761	134.59	364.39	229.81	0.7351	1.7809
-53.3	0.247	0.6873	0.71362	134.7	364.46	229.76	0.7356	1.7807
-53.2	0.248	0.6874	0.70966	134.81	364.52	229.71	0.7361	1.7805
-53.1	0.249	0.6876	0.70573	134.92	364.58	229.66	0.7367	1.7803
-53	0.251	0.6877	0.70182	135.04	364.65	229.61	0.7372	1.7801
-52.9	0.252	0.6878	0.69794	135.15	364.71	229.56	0.7377	1.7799
-52.8	0.254	0.688	0.69408	135.26	364.77	229.51	0.7382	1.7798
-52.7	0.255	0.6881	0.69025	135.37	364.83	229.46	0.7387	1.7796
-52.6	0.257	0.6882	0.68645	135.49	364.9	229.41	0.7392	1.7794
-52.5	0.258	0.6884	0.68267	135.6	364.96	229.36	0.7397	1.7792
-52.4	0.26	0.6885	0.67891	135.71	365.02	229.31	0.7402	1.779
-52.3	0.262	0.6886	0.67518	135.82	365.09	229.26	0.7407	1.7788
-52.2	0.263	0.6888	0.67147	135.94	365.15	229.22	0.7412	1.7786
-52.1	0.265	0.6889	0.66779	136.05	365.21	229.17	0.7417	1.7785
-52	0.266	0.689	0.66413	136.16	365.28	229.12	0.7423	1.7783
-51.9	0.268	0.6892	0.66049	136.27	365.34	229.07	0.7428	1.7781
-51.8	0.269	0.6893	0.65688	136.39	365.4	229.02	0.7433	1.7779
-51.7	0.271	0.6894	0.65329	136.5	365.47	228.97	0.7438	1.7777
-51.6	0.273	0.6895	0.64972	136.61	365.53	228.92	0.7443	1.7776
-51.5	0.274	0.6897	0.64618	136.73	365.59	228.87	0.7448	1.7774
-51.4	0.276	0.6898	0.64266	136.84	365.66	228.82	0.7453	1.7772
-51.3	0.277	0.6899	0.63916	136.95	365.72	228.77	0.7458	1.777
-51.2	0.279	0.6901	0.63569	137.06	365.78	228.72	0.7463	1.7768
-51.1	0.281	0.6902	0.63224	137.18	365.85	228.67	0.7468	1.7767
-51	0.282	0.6903	0.62881	137.29	365.91	228.62	0.7473	1.7765
-50.9	0.284	0.6905	0.6254	137.4	365.97	228.57	0.7479	1.7763
-50.8	0.285	0.6906	0.62202	137.52	366.04	228.52	0.7484	1.7761
-50.7	0.287	0.6907	0.61865	137.63	366.1	228.47	0.7489	1.7759
-50.6	0.289	0.6909	0.61531	137.74	366.16	228.42	0.7494	1.7758
-50.5	0.29	0.691	0.61199	137.86	366.23	228.37	0.7499	1.7756
-50.4	0.292	0.6911	0.60869	137.97	366.29	228.32	0.7504	1.7754
-50.3	0.294	0.6913	0.60541	138.08	366.35	228.27	0.7509	1.7752
-50.2	0.296	0.6914	0.60215	138.2	366.42	228.22	0.7514	1.7751
-50.1	0.297	0.6915	0.59892	138.31	366.48	228.17	0.7519	1.7749
-50	0.299	0.6917	0.5957	138.42	366.54	228.12	0.7524	1.7747
-49.9	0.301	0.6918	0.5925	138.54	366.61	228.07	0.7529	1.7745
-49.8	0.302	0.6919	0.58933	138.65	366.67	228.02	0.7534	1.7743
-49.7	0.304	0.6921	0.58617	138.76	366.73	227.97	0.754	1.7742
-49.6	0.306	0.6922	0.58304	138.88	366.8	227.92	0.7545	1.774
-49.5	0.308	0.6923	0.57992	138.99	366.86	227.87	0.755	1.7738
-49.4	0.309	0.6925	0.57683	139.1	366.92	227.82	0.7555	1.7737
-49.3	0.311	0.6926	0.57375	139.22	366.99	227.77	0.756	1.7735
-49.2	0.313	0.6927	0.5707	139.33	367.05	227.72	0.7565	1.7733
-49.1	0.315	0.6929	0.56766	139.45	367.11	227.67	0.757	1.7731
-49	0.317	0.693	0.56464	139.56	367.18	227.62	0.7575	1.773
-48.9	0.318	0.6932	0.56164	139.67	367.24	227.56	0.758	1.7728
-48.8	0.32	0.6933	0.55866	139.79	367.3	227.51	0.7585	1.7726
-48.7	0.322	0.6934	0.5557	139.9	367.36	227.46	0.759	1.7725
-48.6	0.324	0.6936	0.55276	140.02	367.43	227.41	0.7595	1.7723
-48.5	0.326	0.6937	0.54984	140.13	367.49	227.36	0.76	1.7721
-48.4	0.328	0.6938	0.54693	140.24	367.55	227.31	0.7606	1.7719
-48.3	0.329	0.694	0.54404	140.36	367.62	227.26	0.7611	1.7718
-48.2	0.331	0.6941	0.54118	140.47	367.68	227.21	0.7616	1.7716
-48.1	0.333	0.6942	0.53833	140.59	367.74	227.16	0.7621	1.7714
-48	0.335	0.6944	0.53549	140.7	367.81	227.11	0.7626	1.7713
-47.9	0.337	0.6945	0.53268	140.82	367.87	227.06	0.7631	1.7711
-47.8	0.339	0.6946	0.52988	140.93	367.93	227	0.7636	1.7709
-47.7	0.341	0.6948	0.5271	141.04	368	226.95	0.7641	1.7708
-47.6	0.343	0.6949	0.52434	141.16	368.06	226.9	0.7646	1.7706
-47.5	0.345	0.695	0.52159	141.27	368.12	226.85	0.7651	1.7704
-47.4	0.346	0.6952	0.51886	141.39	368.19	226.8	0.7656	1.7703
-47.3	0.348	0.6953	0.51615	141.5	368.25	226.75	0.7661	1.7701
-47.2	0.35	0.6954	0.51346	141.62	368.31	226.7	0.7666	1.7699
-47.1	0.352	0.6956	0.51078	141.73	368.38	226.64	0.7671	1.7698
-47	0.354	0.6957	0.50812	141.85	368.44	226.59	0.7676	1.7696
-46.9	0.356	0.6959	0.50547	141.96	368.5	226.54	0.7682	1.7694
-46.8	0.358	0.696	0.50284	142.08	368.57	226.49	0.7687	1.7693
-46.7	0.36	0.6961	0.50023	142.19	368.63	226.44	0.7692	1.7691
-46.6	0.362	0.6963	0.49763	142.31	368.69	226.39	0.7697	1.769
-46.5	0.364	0.6964	0.49505	142.42	368.76	226.34	0.7702	1.7688
-46.4	0.366	0.6965	0.49249	142.53	368.82	226.28	0.7707	1.7686
-46.3	0.368	0.6967	0.48994	142.65	368.88	226.23	0.7712	1.7685
-46.2	0.37	0.6968	0.48741	142.76	368.94	226.18	0.7717	1.7683
-46.1	0.372	0.697	0.48489	142.88	369.01	226.13	0.7722	1.7681
-46	0.375	0.6971	0.48239	142.99	369.07	226.08	0.7727	1.768
-45.9	0.377	0.6972	0.4799	143.11	369.13	226.02	0.7732	1.7678
-45.8	0.379	0.6974	0.47743	143.23	369.2	225.97	0.7737	1.7677
-45.7	0.381	0.6975	0.47498	143.34	369.26	225.92	0.7742	1.7675
-45.6	0.383	0.6976	0.47254	143.46	369.32	225.87	0.7747	1.7673
-45.5	0.385	0.6978	0.47011	143.57	369.39	225.82	0.7752	1.7672
-45.4	0.387	0.6979	0.4677	143.69	369.45	225.76	0.7757	1.767
-45.3	0.389	0.698	0.4653	143.8	369.51	225.71	0.7763	1.7669
-45.2	0.391	0.6982	0.46292	143.92	369.58	225.66	0.7768	1.7667
-45.1	0.393	0.6983	0.46055	144.03	369.64	225.61	0.7773	1.7666
-45	0.396	0.6985	0.4582	144.15	369.7	225.55	0.7778	1.7664
-44.9	0.398	0.6986	0.45586	144.26	369.77	225.5	0.7783	1.7662
-44.8	0.4	0.6987	0.45354	144.38	369.83	225.45	0.7788	1.7661
-44.7	0.402	0.6989	0.45123	144.49	369.89	225.4	0.7793	1.7659
-44.6	0.404	0.699	0.44893	144.61	369.95	225.34	0.7798	1.7658
-44.5	0.407	0.6992	0.44665	144.73	370.02	225.29	0.7803	1.7656
-44.4	0.409	0.6993	0.44438	144.84	370.08	225.24	0.7808	1.7655
-44.3	0.411	0.6994	0.44213	144.96	370.14	225.19	0.7813	1.7653
-44.2	0.413	0.6996	0.43989	145.07	370.21	225.13	0.7818	1.7651
-44.1	0.415	0.6997	0.43766	145.19	370.27	225.08	0.7823	1.765
-44	0.418	0.6998	0.43545	145.3	370.33	225.03	0.7828	1.7648
-43.9	0.42	0.7	0.43325	145.42	370.4	224.98	0.7833	1.7647
-43.8	0.422	0.7001	0.43106	145.54	370.46	224.92	0.7838	1.7645
-43.7	0.425	0.7003	0.42888	145.65	370.52	224.87	0.7843	1.7644
-43.6	0.427	0.7004	0.42672	145.77	370.59	224.82	0.7848	1.7642
-43.5	0.429	0.7005	0.42457	145.88	370.65	224.76	0.7853	1.7641
-43.4	0.431	0.7007	0.42244	146	370.71	224.71	0.7858	1.7639
-43.3	0.434	0.7008	0.42032	146.12	370.78	224.66	0.7864	1.7638
-43.2	0.436	0.701	0.41821	146.23	370.84	224.61	0.7869	1.7636
-43.1	0.438	0.7011	0.41611	146.35	370.9	224.55	0.7874	1.7635
-43	0.441	0.7012	0.41403	146.47	370.96	224.5	0.7879	1.7633
-42.9	0.443	0.7014	0.41195	146.58	371.03	224.45	0.7884	1.7632
-42.8	0.446	0.7015	0.40989	146.7	371.09	224.39	0.7889	1.763
-42.7	0.448	0.7017	0.40785	146.81	371.15	224.34	0.7894	1.7629
-42.6	0.45	0.7018	0.40581	146.93	371.22	224.29	0.7899	1.7627
-42.5	0.453	0.7019	0.40379	147.05	371.28	224.23	0.7904	1.7626
-42.4	0.455	0.7021	0.40178	147.16	371.34	224.18	0.7909	1.7624
-42.3	0.458	0.7022	0.39978	147.28	371.41	224.13	0.7914	1.7623
-42.2	0.46	0.7024	0.39779	147.4	371.47	224.07	0.7919	1.7621
