P=10 psia (-29.50 F),,,,,,,,,,,,,,,,
T,,P,,?,,v,,h,,s,,Cp,Cp/Cv,Quality,?,k
[F],,[psia],,[lb/ft^3],,[ft^3/lb],,[Btu/lb],,[Btu/R-lb],,[Btu/R-lb],[unitless],[unitless],[centipoise],[Btu/h-ft-R]
-50,-46,10,0.69,89.5055,5.5878,0.0112,0.1794,-2.98,-6.93,-0.0072,-0.0301,0.2976,1.5057,Subcooled,0.51117,0.065537
-45,-43,10,0.69,89.0079,5.5567,0.0112,0.1794,-1.49,-3.47,-0.0036,-0.0151,0.2987,1.5060,Subcooled,0.48839,0.064738
-40,-40,10,0.69,88.5069,5.5255,0.0113,0.1810,0.00,0.00,0.0000,0.0000,0.2999,1.5064,Subcooled,0.46712,0.063946
-35,-37,10,0.69,88.0024,5.4940,0.0114,0.1826,1.51,3.51,0.0036,0.0151,0.3010,1.5069,Subcooled,0.44719,0.063161
-30,-34,10,0.69,87.4941,5.4622,0.0114,0.1826,3.01,7.00,0.0071,0.0297,0.3022,1.5075,Subcooled,0.42850,0.062381
-25,-32,10,0.69,0.2258,0.0141,4.4279,70.9261,99.58,231.62,0.2316,0.9697,0.1836,1.1473,Superheated,0.00958,0.005116
-20,-29,10,0.69,0.2229,0.0139,4.4856,71.8503,100.50,233.76,0.2337,0.9785,0.1841,1.1449,Superheated,0.00970,0.005244
-15,-26,10,0.69,0.2201,0.0137,4.5430,72.7698,101.42,235.90,0.2357,0.9868,0.1847,1.1426,Superheated,0.00981,0.005373
-10,-23,10,0.69,0.2174,0.0136,4.6001,73.6844,102.35,238.07,0.2378,0.9956,0.1853,1.1405,Superheated,0.00992,0.005501
-5,-21,10,0.69,0.2147,0.0134,4.6570,74.5958,103.27,240.21,0.2399,1.0044,0.1860,1.1385,Superheated,0.01003,0.005629
0,-18,10,0.69,0.2122,0.0132,4.7136,75.5024,104.21,242.39,0.2419,1.0128,0.1868,1.1367,Superheated,0.01014,0.005758
5,-15,10,0.69,0.2096,0.0131,4.7700,76.4059,105.14,244.56,0.2439,1.0212,0.1877,1.1349,Superheated,0.01025,0.005886
10,-12,10,0.69,0.2072,0.0129,4.8262,77.3061,106.08,246.74,0.2459,1.0295,0.1885,1.1332,Superheated,0.01036,0.006014
15,-9,10,0.69,0.2048,0.0128,4.8822,78.2031,107.03,248.95,0.2479,1.0379,0.1895,1.1315,Superheated,0.01048,0.006143
20,-7,10,0.69,0.2025,0.0126,4.9380,79.0969,107.98,251.16,0.2499,1.0463,0.1904,1.1300,Superheated,0.01059,0.006271
25,-4,10,0.69,0.2003,0.0125,4.9938,79.9907,108.93,253.37,0.2519,1.0547,0.1914,1.1285,Superheated,0.01070,0.006399
