P=15 psia (-14.12 F),,,,,,,,,,,,,,,
T,,P,,?,,v,,h,,s,,Cp/Cv,Quality,?,k
[F],,[psia],,[lb/ft^3],,[ft^3/lb],,[Btu/lb],,[Btu/R-lb],,[unitless],[unitless],[centipoise],[Btu/h-ft-R]
-50,-46,15,1.03,89.5101,5.5881,0.0112,0.1794,-2.98,-6.93,-0.0072,-0.0301,1.5056,Subcooled,0.51135,0.065545
-45,-43,15,1.03,89.0127,5.5570,0.0112,0.1794,-1.49,-3.47,-0.0036,-0.0151,1.5059,Subcooled,0.48857,0.064747
-40,-40,15,1.03,88.5119,5.5258,0.0113,0.1810,0.01,0.02,0.0000,0.0000,1.5063,Subcooled,0.46729,0.063955
-35,-37,15,1.03,88.0075,5.4943,0.0114,0.1826,1.51,3.51,0.0035,0.0147,1.5068,Subcooled,0.44736,0.063170
-30,-34,15,1.03,87.4994,5.4626,0.0114,0.1826,3.02,7.02,0.0071,0.0297,1.5074,Subcooled,0.42866,0.062390
-25,-32,15,1.03,86.9874,5.4306,0.0115,0.1842,4.53,10.54,0.0106,0.0444,1.5081,Subcooled,0.41109,0.061617
-20,-29,15,1.03,86.4712,5.3984,0.0116,0.1858,6.05,14.07,0.0141,0.0590,1.5089,Subcooled,0.39453,0.060849
-15,-26,15,1.03,85.9506,5.3659,0.0116,0.1858,7.58,17.63,0.0175,0.0733,1.5098,Subcooled,0.37891,0.060087
-10,-23,15,1.03,0.3310,0.0207,3.0212,48.3936,101.85,236.90,0.2291,0.9592,1.1514,Superheated,0.00989,0.005512
-5,-21,15,1.03,0.3267,0.0204,3.0608,49.0279,102.80,239.11,0.2312,0.9680,1.1486,Superheated,0.01000,0.005640
0,-18,15,1.03,0.3226,0.0201,3.1001,49.6574,103.75,241.32,0.2333,0.9768,1.1460,Superheated,0.01012,0.005768
5,-15,15,1.03,0.3186,0.0199,3.1392,50.2837,104.71,243.56,0.2353,0.9852,1.1435,Superheated,0.01023,0.005896
