T,,P,,?,,v,,h,,s,,Cp,Cp/Cv,Quality,?,k
[F],,[psia],,[lb/ft^3],,[ft^3/lb],,[Btu/lb],,[Btu/R-lb],,[Btu/R-lb],[unitless],[unitless],[centipoise],[Btu/h-ft-R]
-50,-46,20,1.38,89.5148,5.5884,0.0112,0.1794,-2.97,-6.91,-0.0072,-0.0301,0.2976,1.5055,Subcooled,0.51154,0.065554
-45,-43,20,1.38,89.0175,5.5573,0.0112,0.1794,-1.48,-3.44,-0.0036,-0.0151,0.2987,1.5058,Subcooled,0.48875,0.064756
-40,-40,20,1.38,88.5168,5.5261,0.0113,0.1810,0.01,0.02,0.0000,0.0000,0.2998,1.5062,Subcooled,0.46746,0.063964
-35,-37,20,1.38,88.0126,5.4946,0.0114,0.1826,1.52,3.54,0.0035,0.0147,0.3010,1.5067,Subcooled,0.44753,0.063179
-30,-34,20,1.38,87.5047,5.4629,0.0114,0.1826,3.02,7.02,0.0071,0.0297,0.3022,1.5073,Subcooled,0.42883,0.062400
-25,-32,20,1.38,86.9929,5.4309,0.0115,0.1842,4.54,10.56,0.0106,0.0444,0.3034,1.5079,Subcooled,0.41125,0.061627
-20,-29,20,1.38,86.4769,5.3987,0.0116,0.1858,6.06,14.10,0.0140,0.0586,0.3047,1.5087,Subcooled,0.39469,0.060859
-15,-26,20,1.38,85.9565,5.3662,0.0116,0.1858,7.58,17.63,0.0175,0.0733,0.3060,1.5096,Subcooled,0.37906,0.060097
-10,-23,20,1.38,85.4314,5.3335,0.0117,0.1874,9.12,21.21,0.0209,0.0875,0.3074,1.5107,Subcooled,0.36429,0.059340
-5,-21,20,1.38,84.9013,5.3004,0.0118,0.1890,10.66,24.80,0.0243,0.1017,0.3088,1.5119,Subcooled,0.35031,0.058587
0,-18,20,1.38,0.4363,0.0272,2.2922,36.7165,103.27,240.21,0.2269,0.9500,0.1956,1.1567,Superheated,0.01009,0.005780
5,-15,20,1.38,0.4305,0.0269,2.3228,37.2066,104.25,242.49,0.2290,0.9588,0.1956,1.1534,Superheated,0.01020,0.005907
10,-12,20,1.38,0.4250,0.0265,2.3531,37.6920,105.23,244.76,0.2311,0.9676,0.1957,1.1504,Superheated,0.01031,0.006035
15,-9,20,1.38,0.4196,0.0262,2.3831,38.1725,106.21,247.04,0.2332,0.9764,0.1960,1.1476,Superheated,0.01043,0.006162
