P=25 psia (7.20 F),,,,,,,,,,,,,,,,
T,,p,,?,,v,,h,,s,,Cp,Cp/Cv,Quality,?,k
[F],,[psia],,[lb/ft^3],,[ft^3/lb],,[Btu/lb],,[Btu/R-lb],,[Btu/R-lb],[unitless],[unitless],[centipoise],[Btu/h-ft-R]
-50,-46,25,1.72,89.5195,5.5887,0.0112,0.1794,-2.97,-6.91,-0.0072,-0.0301,0.2976,1.5054,Subcooled,0.51172,0.065563
-45,-43,25,1.72,89.0223,5.5576,0.0112,0.1794,-1.48,-3.44,-0.0036,-0.0151,0.2987,1.5057,Subcooled,0.48893,0.064765
-40,-40,25,1.72,88.5218,5.5264,0.0113,0.1810,0.02,0.05,0.0000,0.0000,0.2998,1.5061,Subcooled,0.46764,0.063973
-35,-37,25,1.72,88.0178,5.4949,0.0114,0.1826,1.52,3.54,0.0035,0.0147,0.3010,1.5066,Subcooled,0.44770,0.063188
-30,-34,25,1.72,87.5101,5.4632,0.0114,0.1826,3.03,7.05,0.0070,0.0293,0.3022,1.5072,Subcooled,0.42899,0.062409
-25,-32,25,1.72,86.9984,5.4313,0.0115,0.1842,4.54,10.56,0.0105,0.0440,0.3034,1.5078,Subcooled,0.41140,0.061636
-20,-29,25,1.72,86.4826,5.3991,0.0116,0.1858,6.06,14.10,0.0140,0.0586,0.3047,1.5086,Subcooled,0.39484,0.060869
-15,-26,25,1.72,85.9624,5.3666,0.0116,0.1858,7.59,17.65,0.0175,0.0733,0.3060,1.5095,Subcooled,0.37921,0.060107
-10,-23,25,1.72,85.4375,5.3338,0.0117,0.1874,9.12,21.21,0.0209,0.0875,0.3073,1.5106,Subcooled,0.36444,0.059350
-5,-21,25,1.72,84.9077,5.3008,0.0118,0.1890,10.66,24.80,0.0243,0.1017,0.3087,1.5117,Subcooled,0.35046,0.058598
0,-18,25,1.72,84.3726,5.2674,0.0119,0.1906,12.21,28.40,0.0277,0.1160,0.3102,1.5131,Subcooled,0.33719,0.057850
5,-15,25,1.72,83.8320,5.2336,0.0119,0.1906,13.77,32.03,0.0311,0.1302,0.3117,1.5145,Subcooled,0.32460,0.057107
10,-12,25,1.72,0.5384,0.0336,1.8572,29.7486,104.77,243.70,0.2260,0.9462,0.2003,1.1608,Superheated,0.01029,0.006048
15,-9,25,1.72,0.5313,0.0332,1.8823,30.1507,105.77,246.02,0.2281,0.9550,0.2001,1.1571,Superheated,0.01040,0.006175
20,-7,25,1.72,0.5244,0.0327,1.9070,30.5463,106.77,248.35,0.2302,0.9638,0.2001,1.1538,Superheated,0.01052,0.006302
25,-4,25,1.72,0.5177,0.0323,1.9316,30.9404,107.77,250.67,0.2323,0.9726,0.2003,1.1507,Superheated,0.01063,0.006429
30,-1,25,1.72,0.5113,0.0319,1.9559,31.3296,108.78,253.02,0.2343,0.9810,0.2006,1.1479,Superheated,0.01075,0.006557
35,2,25,1.72,0.5050,0.0315,1.9801,31.7172,109.78,255.35,0.2364,0.9898,0.2010,1.1453,Superheated,0.01086,0.006684
40,4,25,1.72,0.4990,0.0312,2.0041,32.1017,110.79,257.70,0.2384,0.9981,0.2015,1.1428,Superheated,0.01097,0.006812
45,7,25,1.72,0.4931,0.0308,2.0280,32.4845,111.79,260.02,0.2404,1.0065,0.2020,1.1405,Superheated,0.01108,0.006940
50,10,25,1.72,0.4874,0.0304,2.0518,32.8657,112.81,262.40,0.2424,1.0149,0.2027,1.1383,Superheated,0.01120,0.007068
55,13,25,1.72,0.4818,0.0301,2.0754,33.2438,113.82,264.75,0.2444,1.0233,0.2033,1.1362,Superheated,0.01131,0.007196
60,16,25,1.72,0.4764,0.0297,2.0989,33.6202,114.84,267.12,0.2464,1.0316,0.2041,1.1343,Superheated,0.01142,0.007323
65,18,25,1.72,0.4712,0.0294,2.1223,33.9950,115.86,269.49,0.2483,1.0396,0.2048,1.1324,Superheated,0.01153,0.007451
70,21,25,1.72,0.4661,0.0291,2.1456,34.3682,116.89,271.89,0.2503,1.0480,0.2056,1.1307,Superheated,0.01164,0.007579
75,24,25,1.72,0.4611,0.0288,2.1688,34.7398,117.92,274.28,0.2522,1.0559,0.2064,1.1290,Superheated,0.01175,0.007707
80,27,25,1.72,0.4562,0.0285,2.1919,35.1099,118.95,276.68,0.2541,1.0639,0.2073,1.1274,Superheated,0.01186,0.007835
85,29,25,1.72,0.4515,0.0282,2.2149,35.4783,119.99,279.10,0.2560,1.0718,0.2081,1.1258,Superheated,0.01197,0.007963
90,32,25,1.72,0.4469,0.0279,2.2379,35.8467,121.03,281.52,0.2579,1.0798,0.2090,1.1243,Superheated,0.01208,0.008092
95,35,25,1.72,0.4423,0.0276,2.2608,36.2135,122.08,283.96,0.2598,1.0877,0.2099,1.1229,Superheated,0.01219,0.008220
100,38,25,1.72,0.4379,0.0273,2.2836,36.5787,123.13,286.40,0.2617,1.0957,0.2108,1.1215,Superheated,0.01230,0.008348
105,41,25,1.72,0.4336,0.0271,2.3063,36.9423,124.19,288.87,0.2636,1.1036,0.2117,1.1202,Superheated,0.01241,0.008476
110,43,25,1.72,0.4294,0.0268,2.3290,37.3059,125.25,291.33,0.2655,1.1116,0.2126,1.1189,Superheated,0.01252,0.008604
115,46,25,1.72,0.4252,0.0265,2.3517,37.6695,126.31,293.80,0.2673,1.1191,0.2135,1.1177,Superheated,0.01263,0.008732
120,49,25,1.72,0.4212,0.0263,2.3743,38.0315,127.38,296.29,0.2692,1.1271,0.2145,1.1165,Superheated,0.01274,0.008861
125,52,25,1.72,0.4172,0.0260,2.3968,38.3919,128.46,298.80,0.2710,1.1346,0.2154,1.1153,Superheated,0.01285,0.008989
130,54,25,1.72,0.4134,0.0258,2.4193,38.7523,129.54,301.31,0.2729,1.1426,0.2164,1.1142,Superheated,0.01296,0.009117
135,57,25,1.72,0.4096,0.0256,2.4417,39.1112,130.62,303.82,0.2747,1.1501,0.2173,1.1131,Superheated,0.01307,0.009245
