P=45 psia (34.90 F),,,,,,,,,,,,,,,
T,,P,,?,,v,,h,,s,,Cp/Cv,Quality,?,k
[F],,[psia],,[lb/ft^3],,[ft^3/lb],,[Btu/lb],,[Btu/R-lb],,[unitless],[unitless],[centipoise],[Btu/h-ft-R]
-50,-46,45,3.10,89.5381,5.5898,0.0112,0.1794,-2.94,-6.84,-0.0073,-0.0306,1.5050,Subcooled,0.51247,0.065598
-45,-43,45,3.10,89.0415,5.5588,0.0112,0.1794,-1.45,-3.37,-0.0037,-0.0155,1.5053,Subcooled,0.48965,0.064800
-40,-40,45,3.10,88.5416,5.5276,0.0113,0.1810,0.04,0.09,-0.0001,-0.0004,1.5057,Subcooled,0.46833,0.064010
-35,-37,45,3.10,88.0383,5.4962,0.0114,0.1826,1.54,3.58,0.0035,0.0147,1.5062,Subcooled,0.44837,0.063225
-30,-34,45,3.10,87.5313,5.4646,0.0114,0.1826,3.05,7.09,0.0070,0.0293,1.5067,Subcooled,0.42964,0.062447
-25,-32,45,3.10,87.0203,5.4327,0.0115,0.1842,4.56,10.61,0.0105,0.0440,1.5074,Subcooled,0.41203,0.061675
-20,-29,45,3.10,86.5053,5.4005,0.0116,0.1858,6.08,14.14,0.0140,0.0586,1.5081,Subcooled,0.39545,0.060908
-15,-26,45,3.10,85.9859,5.3681,0.0116,0.1858,7.61,17.70,0.0174,0.0729,1.5090,Subcooled,0.37981,0.060147
-10,-23,45,3.10,85.4619,5.3354,0.0117,0.1874,9.14,21.26,0.0209,0.0875,1.5100,Subcooled,0.36502,0.059391
-5,-21,45,3.10,84.9330,5.3023,0.0118,0.1890,10.68,24.84,0.0243,0.1017,1.5112,Subcooled,0.35103,0.058639
0,-18,45,3.10,84.3989,5.2690,0.0118,0.1890,12.23,28.45,0.0276,0.1156,1.5125,Subcooled,0.33776,0.057893
5,-15,45,3.10,83.8593,5.2353,0.0119,0.1906,13.78,32.05,0.0310,0.1298,1.5139,Subcooled,0.32515,0.057151
10,-12,45,3.10,83.3138,5.2013,0.0120,0.1922,15.34,35.68,0.0343,0.1436,1.5156,Subcooled,0.31316,0.056413
15,-9,45,3.10,82.7622,5.1668,0.0121,0.1938,16.91,39.33,0.0377,0.1578,1.5174,Subcooled,0.30173,0.055679
20,-7,45,3.10,82.2040,5.1320,0.0122,0.1954,18.49,43.01,0.0410,0.1717,1.5195,Subcooled,0.29084,0.054948
25,-4,45,3.10,81.6387,5.0967,0.0122,0.1954,20.08,46.71,0.0443,0.1855,1.5218,Subcooled,0.28042,0.054220
30,-1,45,3.10,81.0659,5.0609,0.0123,0.1970,21.67,50.40,0.0475,0.1989,1.5243,Subcooled,0.27046,0.053495
35,2,45,3.10,0.9522,0.0594,1.0502,16.8221,108.18,251.63,0.2225,0.9316,1.1816,Superheated,0.01079,0.006741
40,4,45,3.10,0.9386,0.0586,1.0654,17.0656,109.25,254.12,0.2246,0.9404,1.1761,Superheated,0.01091,0.006866
45,7,45,3.10,0.9256,0.0578,1.0804,17.3058,110.33,256.63,0.2268,0.9496,1.1711,Superheated,0.01102,0.006991
50,10,45,3.10,0.9131,0.0570,1.0952,17.5429,111.40,259.12,0.2289,0.9584,1.1667,Superheated,0.01114,0.007117
55,13,45,3.10,0.9011,0.0563,1.1098,17.7768,112.46,261.58,0.2310,0.9672,1.1627,Superheated,0.01126,0.007243
60,16,45,3.10,0.8895,0.0555,1.1242,18.0074,113.53,264.07,0.2330,0.9755,1.1590,Superheated,0.01137,0.007369
65,18,45,3.10,0.8783,0.0548,1.1385,18.2365,114.60,266.56,0.2351,0.9843,1.1556,Superheated,0.01149,0.007495
