P=60 psia (49.88 F),,,,,,,,,,,,,,,,
T,,P,,?,,v,,h,,s,,Cp,Cp/Cv,Quality,?,k
[F],,[psia],,[lb/ft^3],,[ft^3/lb],,[Btu/lb],,[Btu/R-lb],,[Btu/R-lb],[unitless],[unitless],[centipoise],[Btu/h-ft-R]
-50,-46,60,4.14,89.5520,5.5907,0.0112,0.1794,-2.93,-6.82,-0.0073,-0.0306,0.2974,1.5047,Subcooled,0.51303,0.065624
-45,-43,60,4.14,89.0559,5.5597,0.0112,0.1794,-1.44,-3.35,-0.0037,-0.0155,0.2985,1.5050,Subcooled,0.49019,0.064827
-40,-40,60,4.14,88.5565,5.5286,0.0113,0.1810,0.06,0.14,-0.0001,-0.0004,0.2997,1.5054,Subcooled,0.46885,0.064037
-35,-37,60,4.14,88.0536,5.4972,0.0114,0.1826,1.56,3.63,0.0034,0.0142,0.3008,1.5058,Subcooled,0.44887,0.063253
-30,-34,60,4.14,87.5471,5.4655,0.0114,0.1826,3.07,7.14,0.0070,0.0293,0.3020,1.5064,Subcooled,0.43012,0.062475
-25,-32,60,4.14,87.0368,5.4337,0.0115,0.1842,4.58,10.65,0.0105,0.0440,0.3033,1.5070,Subcooled,0.41250,0.061703
-20,-29,60,4.14,86.5223,5.4016,0.0116,0.1858,6.10,14.19,0.0139,0.0582,0.3045,1.5078,Subcooled,0.39591,0.060937
-15,-26,60,4.14,86.0035,5.3692,0.0116,0.1858,7.62,17.72,0.0174,0.0729,0.3058,1.5086,Subcooled,0.38026,0.060177
-10,-23,60,4.14,85.4801,5.3365,0.0117,0.1874,9.16,21.31,0.0208,0.0871,0.3072,1.5096,Subcooled,0.36546,0.059421
-5,-21,60,4.14,84.9519,5.3035,0.0118,0.1890,10.70,24.89,0.0242,0.1013,0.3085,1.5108,Subcooled,0.35146,0.058671
0,-18,60,4.14,84.4185,5.2702,0.0118,0.1890,12.24,28.47,0.0276,0.1156,0.3100,1.5120,Subcooled,0.33818,0.057925
5,-15,60,4.14,83.8797,5.2366,0.0119,0.1906,13.80,32.10,0.0310,0.1298,0.3114,1.5135,Subcooled,0.32556,0.057184
10,-12,60,4.14,83.3351,5.2026,0.0120,0.1922,15.36,35.73,0.0343,0.1436,0.3130,1.5151,Subcooled,0.31356,0.056446
15,-9,60,4.14,82.7843,5.1682,0.0121,0.1938,16.93,39.38,0.0376,0.1574,0.3145,1.5169,Subcooled,0.30213,0.055713
20,-7,60,4.14,82.2269,5.1334,0.0122,0.1954,18.50,43.03,0.0409,0.1712,0.3162,1.5189,Subcooled,0.29123,0.054983
25,-4,60,4.14,81.6626,5.0982,0.0122,0.1954,20.09,46.73,0.0442,0.1851,0.3179,1.5212,Subcooled,0.28081,0.054256
30,-1,60,4.14,81.0909,5.0625,0.0123,0.1970,21.68,50.43,0.0475,0.1989,0.3196,1.5237,Subcooled,0.27084,0.053532
35,2,60,4.14,80.5112,5.0263,0.0124,0.1986,23.28,54.15,0.0507,0.2123,0.3215,1.5265,Subcooled,0.26130,0.052811
40,4,60,4.14,79.9231,4.9896,0.0125,0.2002,24.90,57.92,0.0540,0.2261,0.3234,1.5295,Subcooled,0.25213,0.052092
