Refrigerant: R134a, CH2FCF3, 1,1,1,2-tetrafluoroethane
Reference: D.P.Wilson & R.S.Basu, ASHRAE Transactions 1988, Vol. 94 part 2.

T	P	Vl	Vg	Hl	Hg	R	Sl	Sg
°C	Bar	dm^3/kg	m^3/kg	kJ/kg	kJ/kg	kJ/kg	kJ/(kgK)	kJ/(kgK)
-60.00	0.163	0.6787	1.05020	127.27	360.22	232.95	0.7014	1.7942
-59.00	0.174	0.6800	0.98961	128.37	360.85	232.48	0.7065	1.7921
-58.00	0.185	0.6812	0.93310	129.47	361.48	232.01	0.7116	1.7900
-57.00	0.197	0.6825	0.88037	130.58	362.11	231.54	0.7167	1.7879
-56.00	0.209	0.6838	0.83113	131.68	362.75	231.06	0.7218	1.7859
-55.00	0.223	0.6851	0.78511	132.80	363.38	230.58	0.7270	1.7839
-54.00	0.236	0.6864	0.74209	133.91	364.01	230.10	0.7321	1.7820
-53.00	0.251	0.6877	0.70182	135.04	364.65	229.61	0.7372	1.7801
-52.00	0.266	0.6890	0.66413	136.16	365.28	229.12	0.7423	1.7783
-51.00	0.282	0.6903	0.62881	137.29	365.91	228.62	0.7473	1.7765
-50.00	0.299	0.6917	0.59570	138.42	366.54	228.12	0.7524	1.7747
-49.00	0.317	0.6930	0.56464	139.56	367.18	227.62	0.7575	1.7730
-48.00	0.335	0.6944	0.53549	140.70	367.81	227.11	0.7626	1.7713
-47.00	0.354	0.6957	0.50812	141.85	368.44	226.59	0.7676	1.7696
-46.00	0.375	0.6971	0.48239	142.99	369.07	226.08	0.7727	1.7680
-45.00	0.396	0.6985	0.45820	144.15	369.70	225.55	0.7778	1.7664
-44.00	0.418	0.6998	0.43545	145.30	370.33	225.03	0.7828	1.7648
-43.00	0.441	0.7012	0.41403	146.47	370.96	224.50	0.7879	1.7633
-42.00	0.465	0.7026	0.39385	147.63	371.59	223.96	0.7929	1.7618
-41.00	0.490	0.7041	0.37484	148.80	372.22	223.43	0.7979	1.7604
-40.00	0.516	0.7055	0.35692	149.97	372.85	222.88	0.8030	1.7589
-39.00	0.544	0.7069	0.34001	151.15	373.48	222.33	0.8080	1.7575
-38.00	0.572	0.7083	0.32405	152.33	374.11	221.78	0.8130	1.7562
-37.00	0.602	0.7098	0.30898	153.51	374.74	221.23	0.8180	1.7548
-36.00	0.633	0.7113	0.29474	154.70	375.37	220.66	0.8231	1.7535
-35.00	0.665	0.7127	0.28128	155.89	375.99	220.10	0.8281	1.7523
-34.00	0.699	0.7142	0.26855	157.09	376.62	219.53	0.8331	1.7510
-33.00	0.734	0.7157	0.25651	158.29	377.24	218.95	0.8381	1.7498
-32.00	0.770	0.7172	0.24511	159.49	377.87	218.37	0.8431	1.7486
-31.00	0.808	0.7187	0.23431	160.70	378.49	217.79	0.8480	1.7474
-30.00	0.847	0.7202	0.22408	161.91	379.11	217.20	0.8530	1.7463
-29.00	0.888	0.7218	0.21438	163.13	379.73	216.61	0.8580	1.7452
-28.00	0.930	0.7233	0.20518	164.35	380.35	216.01	0.8630	1.7441
-27.00	0.974	0.7249	0.19645	165.57	380.97	215.40	0.8679	1.7430
-26.00	1.020	0.7264	0.18817	166.80	381.59	214.79	0.8729	1.7420
-25.00	1.067	0.7280	0.18030	168.03	382.21	214.18	0.8778	1.7410
-24.00	1.116	0.7296	0.17282	169.26	382.82	213.56	0.8828	1.7400
-23.00	1.167	0.7312	0.16571	170.50	383.44	212.94	0.8877	1.7390
-22.00	1.219	0.7328	0.15896	171.74	384.05	212.31	0.8927	1.7380
-21.00	1.274	0.7345	0.15253	172.99	384.67	211.68	0.8976	1.7371
-20.00	1.330	0.7361	0.14641	174.24	385.28	211.04	0.9025	1.7362
-19.00	1.388	0.7378	0.14059	175.49	385.89	210.40	0.9075	1.7353
-18.00	1.448	0.7394	0.13504	176.75	386.50	209.75	0.9124	1.7345
-17.00	1.511	0.7411	0.12975	178.01	387.11	209.10	0.9173	1.7336
-16.00	1.575	0.7428	0.12471	179.27	387.71	208.44	0.9222	1.7328
-15.00	1.641	0.7445	0.11991	180.54	388.32	207.78	0.9271	1.7320
-14.00	1.710	0.7463	0.11533	181.81	388.92	207.11	0.9320	1.7312
-13.00	1.781	0.7480	0.11095	183.09	389.52	206.44	0.9369	1.7304
-12.00	1.854	0.7498	0.10678	184.36	390.12	205.76	0.9418	1.7297
-11.00	1.929	0.7515	0.10279	185.65	390.72	205.08	0.9467	1.7289
-10.00	2.007	0.7533	0.09898	186.93	391.32	204.39	0.9515	1.7282
-9.00	2.088	0.7551	0.09534	188.22	391.92	203.69	0.9564	1.7275
-8.00	2.170	0.7569	0.09186	189.52	392.51	202.99	0.9613	1.7269
-7.00	2.256	0.7588	0.08853	190.82	393.10	202.29	0.9661	1.7262
-6.00	2.344	0.7606	0.08535	192.12	393.70	201.58	0.9710	1.7255
-5.00	2.434	0.7625	0.08230	193.42	394.28	200.86	0.9758	1.7249
-4.00	2.527	0.7644	0.07938	194.73	394.87	200.14	0.9807	1.7243
-3.00	2.623	0.7663	0.07659	196.04	395.46	199.42	0.9855	1.7237
-2.00	2.722	0.7682	0.07391	197.36	396.04	198.68	0.9903	1.7231
-1.00	2.824	0.7701	0.07135	198.68	396.62	197.95	0.9952	1.7225
0.00	2.928	0.7721	0.06889	200.00	397.20	197.20	1.0000	1.7220
